Year,Region,Gender,a1_agree,a1_neutral,a1_disagree,a2_opps_other,a3_yes,a3_no,a4,a5_r,a6_r_city,a6_r_noncity,b1_hours_work,b2_self,b3_dependent,b3_fullyindependent,b4_agree,b4_neutral,b4_disagree,b5_man_other,b6_assistance,b6_familybiz,b6_familyfarm,b6_gov,b6_invest,b6_ngo,b6_nonfam,b6_oth,b6_pension,b6_remittances,b6_unemploy,b6_wage,b7_full,b7_limited,b8,b9,b10_yes,b10_no,c1_elderly,c1_disability,c1_isolate,c1_none,c1_preschool,c1_school,c1a_all,c1a_occasionally,c1b_spouse,c1c_hours_care,c1d_increase,c1d_same,c1d_decrease,c2_animals,c2_business,c2_clean,c2_cook,c2_farm,c2_hhmanage,c2_none,c2_other,c2_shop,c2_water_fuel,c2a_no,c2a_yes,c2b_spouse,c2c_hours_chores,c2d_increase,c2d_same,c2d_decrease,c3_Agree,c3_neutral,c3_disagree,c4_housewife_other,d0,d1,d4_computer,d4_home,d4_land,d4_none,d4_phone,d4_vehicle,d5_agree,d5_neutral,d5_disagree,d6_health,d6_isolate,d6_job,d6_medical,d6_migrate,d6_none,d6_other,d6_personal,d6_school,d6_transport,d6_wait,d7_bored,d7_food,d7_health,d7_info,d7_loan,d7_money,d7_none,d7_stuck,d7_work
2020,East Asia & Pacific,Female,86,7.000000000000001,7.000000000000001,6.59,59.0,41.0,19630,16.0,44.0,56.00000000000001,7.12,43.0,51.0,49.0,39.0,22.0,39.0,6.26,5,11.0,11.0,9.0,9.0,1,2.0,8.0,7.000000000000001,3.0,2.0,48.0,33.0,67.0,23.0,27.0,46.0,54.0,12.0,7.000000000000001,7.000000000000001,45.0,21.0,31.0,31.0,69.0,41.0,9.66,47.0,41.0,5.0,17.0,17,72.0,59.0,7.000000000000001,32.0,7.000000000000001,2,46.0,7.000000000000001,17.0,83,38.0,4.33,40.0,51.0,5.0,47.0,27.0,26.0,6.4,59.0,7.000000000000001,37,33.0,17.0,12,72,48.0,34.0,21.0,44.0,15.0,25.0,19.0,31.0,3.0,18.0,8.0,5.0,34.0,15.0,11.0,24,31.0,23.0,22.0,19,31.0,4.0,31,35.0
2020,East Asia & Pacific,Male,80,10.0,9.0,6.11,67.0,33.0,20143,53.0,42.0,57.99999999999999,7.88,66.0,26.0,74.0,42.0,23.0,35.0,5.77,4,12.0,12.0,8.0,9.0,1,2.0,10.0,8.0,4.0,3.0,41.0,39.0,61.0,32.0,35.0,43.0,56.99999999999999,14.000000000000002,8.0,9.0,50.0,14.000000000000002,24.0,36.0,64.0,42.0,6.4,41.0,39.0,11.0,14.000000000000002,19,44.0,28.999999999999996,11.0,27.0,15.0,3,31.0,9.0,16.0,84,50.0,2.94,35.0,49.0,8.0,50.0,27.0,23.0,6.16,57.99999999999999,13.0,44,42.0,28.999999999999996,9,73,60.0,28.000000000000004,22.0,50.0,11.0,24.0,23.0,26.0,3.0,25.0,8.0,4.0,21.0,14.000000000000002,10.0,20,22.0,16.0,21.0,19,25.0,3.0,23,38.0
2020,East Asia & Pacific,Combined,83,9.0,8.0,6.39,63.0,37.0,39773,36.0,43.0,56.99999999999999,7.55,56.00000000000001,37.0,63.0,41.0,22.0,37.0,6.0,4,12.0,12.0,9.0,9.0,1,2.0,10.0,8.0,4.0,3.0,44.0,37.0,63.0,28.000000000000004,31.0,44.0,56.00000000000001,13.0,7.000000000000001,8.0,48.0,17.0,27.0,33.0,67.0,41.0,7.98,44.0,40.0,8.0,16.0,18,56.99999999999999,43.0,9.0,28.999999999999996,11.0,3,38.0,8.0,17.0,83,44.0,3.61,37.0,50.0,7.000000000000001,49.0,27.0,24.0,6.28,59.0,10.0,41,38.0,24.0,10,72,55.00000000000001,31.0,22.0,47.0,13.0,25.0,21.0,28.000000000000004,3.0,22.0,8.0,5.0,27.0,14.000000000000002,11.0,22,26.0,19.0,22.0,19,28.000000000000004,3.0,26,36.0
2020,Europe & Central Asia,Female,90,5.0,5.0,6.31,50.0,50.0,52038,38.0,60.0,40.0,8.1,52.0,47.0,53.0,25.0,17.0,56.99999999999999,4.97,5,6.0,3.0,12.0,7.000000000000001,1,4.0,13.0,17.0,3.0,8.0,47.0,72.0,28.000000000000004,30.0,31.0,34.0,66.0,11.0,8.0,7.000000000000001,47.0,17.0,30.0,26.0,74.0,50.0,9.59,48.0,41.0,5.0,35.0,12,84.0,74.0,6.0,53.0,5.0,2,63.0,9.0,23.0,77,53.0,3.73,41.0,50.0,5.0,39.0,25.0,36.0,5.74,67.0,11.0,65,50.0,17.0,6,83,44.0,21.0,18.0,60.0,21.0,35.0,13.0,20.0,7.000000000000001,21.0,6.0,18.0,30.0,18.0,25.0,25,22.0,28.999999999999996,22.0,19,35.0,3.0,39,31.0
2020,Europe & Central Asia,Male,83,7.000000000000001,11.0,6.35,60.0,40.0,44647,56.00000000000001,63.0,37.0,8.8,75.0,24.0,76.0,39.0,16.0,45.0,5.46,4,9.0,4.0,9.0,8.0,2,4.0,12.0,16.0,4.0,6.0,43.0,73.0,27.0,28.000000000000004,30.0,32.0,68.0,11.0,8.0,8.0,51.0,16.0,26.0,28.000000000000004,72.0,52.0,6.54,44.0,36.0,9.0,23.0,19,50.0,44.0,10.0,52.0,8.0,3,56.99999999999999,18.0,19.0,81,60.0,2.75,34.0,51.0,6.0,51.0,21.0,27.0,5.79,67.0,14.000000000000002,65,50.0,24.0,5,86,52.0,23.0,16.0,61.0,15.0,32.0,17.0,20.0,8.0,26.0,7.000000000000001,12.0,19.0,18.0,21.0,24,21.0,22.0,20.0,19,32.0,3.0,33,35.0
2020,Europe & Central Asia,Combined,86,6.0,8.0,6.3,55.00000000000001,45.0,96685,47.0,62.0,38.0,8.46,64.0,35.0,65.0,32.0,17.0,51.0,5.2,4,7.000000000000001,4.0,11.0,8.0,2,4.0,12.0,17.0,4.0,7.000000000000001,45.0,73.0,27.0,28.999999999999996,31.0,33.0,67.0,11.0,8.0,7.000000000000001,49.0,17.0,28.000000000000004,27.0,73.0,51.0,8.25,46.0,39.0,7.000000000000001,28.999999999999996,15,67.0,59.0,8.0,53.0,7.000000000000001,3,60.0,13.0,21.0,79,56.00000000000001,3.2,38.0,51.0,5.0,45.0,23.0,32.0,5.75,67.0,13.0,65,50.0,21.0,5,85,48.0,22.0,17.0,61.0,18.0,33.0,15.0,20.0,7.000000000000001,23.0,7.000000000000001,15.0,25.0,18.0,23.0,24,22.0,26.0,21.0,19,34.0,3.0,36,33.0
2020,Latin America & Caribbean,Female,96,2.0,3.0,5.83,46.0,54.0,39299,33.0,76.0,24.0,7.44,53.0,49.0,51.0,17.0,14.000000000000002,69.0,5.53,4,9.0,4.0,20.0,7.000000000000001,2,4.0,8.0,14.000000000000002,1.0,6.0,52.0,53.0,47.0,28.000000000000004,28.000000000000004,55.00000000000001,45.0,12.0,7.000000000000001,10.0,36.0,24.0,36.0,30.0,70.0,32.0,12.12,62.0,30.0,5.0,41.0,17,88.0,63.0,3.0,53.0,3.0,1,40.0,8.0,18.0,82,35.0,5.12,57.99999999999999,34.0,4.0,24.0,25.0,51.0,6.09,54.0,5.0,41,43.0,11.0,15,63,32.0,41.0,17.0,42.0,24.0,59.0,24.0,15.0,4.0,8.0,3.0,18.0,51.0,21.0,33.0,23,53.0,40.0,26.0,19,56.99999999999999,3.0,42,41.0
2020,Latin America & Caribbean,Male,94,2.0,4.0,6.2,57.99999999999999,42.0,30188,44.0,78.0,22.0,8.31,67.0,33.0,67.0,26.0,14.000000000000002,60.0,5.52,4,12.0,4.0,15.0,10.0,1,4.0,11.0,13.0,1.0,6.0,46.0,56.00000000000001,44.0,23.0,25.0,46.0,54.0,14.000000000000002,6.0,13.0,45.0,19.0,27.0,31.0,69.0,39.0,8.07,56.99999999999999,32.0,5.0,33.0,20,63.0,40.0,5.0,54.0,7.000000000000001,2,38.0,15.0,11.0,89,48.0,3.41,45.0,44.0,6.0,22.0,28.999999999999996,49.0,5.65,56.00000000000001,9.0,50,48.0,18.0,9,72,47.0,35.0,19.0,45.0,20.0,53.0,26.0,15.0,5.0,14.000000000000002,4.0,12.0,39.0,18.0,23.0,23,45.0,33.0,26.0,20,53.0,2.0,35,46.0
2020,Latin America & Caribbean,Combined,95,2.0,3.0,6.01,51.0,49.0,69487,38.0,77.0,23.0,7.84,57.99999999999999,43.0,56.99999999999999,21.0,14.000000000000002,65.0,5.53,4,10.0,4.0,18.0,8.0,1,4.0,9.0,14.000000000000002,1.0,6.0,49.0,54.0,46.0,26.0,27.0,51.0,49.0,13.0,7.000000000000001,12.0,40.0,22.0,32.0,30.0,70.0,34.0,10.63,60.0,31.0,5.0,38.0,18,78.0,53.0,4.0,53.0,5.0,1,40.0,11.0,15.0,85,41.0,4.46,53.0,38.0,4.0,23.0,27.0,50.0,5.91,55.00000000000001,7.000000000000001,45,45.0,14.000000000000002,13,67,38.0,38.0,18.0,43.0,22.0,56.99999999999999,25.0,15.0,5.0,11.0,3.0,16.0,46.0,20.0,28.999999999999996,23,50.0,37.0,26.0,20,55.00000000000001,3.0,39,43.0
2020,Middle East & North Africa,Female,90,4.0,6.0,4.87,28.999999999999996,71.0,17586,8.0,69.0,31.0,7.87,21.0,66.0,34.0,56.00000000000001,11.0,33.0,6.45,3,7.000000000000001,5.0,5.0,8.0,1,4.0,9.0,20.0,8.0,3.0,34.0,25.0,75.0,18.0,20.0,43.0,56.99999999999999,12.0,6.0,7.000000000000001,44.0,24.0,27.0,33.0,67.0,32.0,10.26,57.99999999999999,28.999999999999996,7.000000000000001,9.0,8,74.0,56.99999999999999,1.0,19.0,7.000000000000001,2,34.0,7.000000000000001,16.0,84,18.0,5.26,55.00000000000001,34.0,6.0,56.99999999999999,17.0,26.0,6.66,47.0,3.0,37,36.0,9.0,11,79,13.0,52.0,12.0,36.0,15.0,28.999999999999996,19.0,20.0,6.0,20.0,8.0,13.0,39.0,23.0,15.0,31,27.0,26.0,14.000000000000002,13,32.0,3.0,41,26.0
2020,Middle East & North Africa,Male,70,9.0,21.0,4.45,55.00000000000001,45.0,21062,43.0,57.99999999999999,42.0,8.68,61.0,28.000000000000004,72.0,71.0,7.000000000000001,22.0,6.55,5,8.0,6.0,5.0,8.0,2,3.0,14.000000000000002,15.0,6.0,3.0,33.0,42.0,57.99999999999999,39.0,44.0,47.0,53.0,17.0,9.0,9.0,40.0,23.0,28.000000000000004,26.0,74.0,34.0,6.44,57.99999999999999,23.0,10.0,9.0,19,24.0,20.0,5.0,37.0,15.0,3,42.0,18.0,16.0,84,33.0,3.24,47.0,32.0,11.0,83.0,8.0,9.0,6.89,56.99999999999999,5.0,39,44.0,15.0,8,80,27.0,38.0,13.0,49.0,14.000000000000002,24.0,27.0,21.0,8.0,23.0,9.0,13.0,27.0,22.0,14.000000000000002,23,27.0,22.0,12.0,22,35.0,3.0,32,35.0
2020,Middle East & North Africa,Combined,79,7.000000000000001,14.000000000000002,4.66,44.0,56.00000000000001,38648,28.000000000000004,63.0,37.0,8.43,44.0,44.0,56.00000000000001,65.0,8.0,27.0,6.49,4,8.0,5.0,5.0,8.0,2,3.0,12.0,17.0,7.000000000000001,3.0,34.0,35.0,65.0,31.0,34.0,46.0,54.0,15.0,8.0,8.0,42.0,24.0,28.000000000000004,28.999999999999996,71.0,33.0,7.92,57.99999999999999,25.0,9.0,9.0,15,44.0,35.0,3.0,28.999999999999996,11.0,3,39.0,13.0,16.0,84,26.0,4.13,50.0,33.0,9.0,72.0,12.0,16.0,6.8,53.0,4.0,38,41.0,13.0,9,80,22.0,44.0,13.0,44.0,14.000000000000002,26.0,24.0,21.0,7.000000000000001,22.0,9.0,13.0,32.0,22.0,15.0,26,27.0,24.0,13.0,18,34.0,3.0,36,31.0
2020,North America,Female,90,3.0,7.000000000000001,7.41,50.0,50.0,3489,46.0,56.99999999999999,43.0,8.44,64.0,48.0,52.0,10.0,20.0,70.0,4.32,4,4.0,1.0,15.0,10.0,1,3.0,14.000000000000002,19.0,1.0,13.0,54.0,77.0,23.0,34.0,38.0,30.0,70.0,9.0,11.0,7.000000000000001,55.00000000000001,13.0,25.0,19.0,81.0,42.0,9.25,53.0,37.0,4.0,47.0,10,88.0,78.0,4.0,70.0,4.0,3,70.0,12.0,27.0,73,55.00000000000001,3.21,43.0,50.0,4.0,37.0,36.0,27.0,5.56,62.0,15.0,76,56.99999999999999,24.0,4,84,75.0,14.000000000000002,15.0,71.0,20.0,48.0,17.0,28.999999999999996,4.0,19.0,6.0,14.000000000000002,36.0,8.0,36.0,32,35.0,28.000000000000004,42.0,17,39.0,7.000000000000001,37,33.0
2020,North America,Male,89,4.0,8.0,7.87,64.0,36.0,2513,74.0,55.00000000000001,45.0,8.87,85.0,28.000000000000004,72.0,21.0,23.0,56.00000000000001,4.69,4,8.0,3.0,14.000000000000002,15.0,1,2.0,12.0,16.0,1.0,9.0,57.99999999999999,81.0,19.0,31.0,32.0,23.0,77.0,10.0,9.0,7.000000000000001,57.99999999999999,12.0,20.0,30.0,70.0,56.00000000000001,6.2,44.0,43.0,3.0,40.0,17,74.0,61.0,6.0,63.0,7.000000000000001,4,59.0,19.0,19.0,81,63.0,2.64,36.0,56.00000000000001,3.0,32.0,38.0,30.0,4.99,66.0,18.0,78,59.0,34.0,3,89,80.0,13.0,13.0,73.0,17.0,40.0,17.0,24.0,4.0,27.0,5.0,12.0,26.0,9.0,28.999999999999996,27,28.000000000000004,25.0,40.0,17,33.0,8.0,32,35.0
2020,North America,Combined,90,3.0,7.000000000000001,7.57,55.00000000000001,45.0,6002,56.99999999999999,56.00000000000001,44.0,8.63,73.0,40.0,60.0,14.000000000000002,21.0,65.0,4.46,4,6.0,2.0,14.000000000000002,12.0,1,3.0,13.0,18.0,1.0,11.0,56.00000000000001,79.0,21.0,33.0,36.0,28.000000000000004,72.0,9.0,10.0,7.000000000000001,56.00000000000001,13.0,23.0,23.0,77.0,47.0,8.17,50.0,40.0,4.0,44.0,13,82.0,72.0,5.0,67.0,5.0,3,65.0,15.0,24.0,76,57.99999999999999,2.99,40.0,52.0,4.0,35.0,37.0,28.000000000000004,5.33,64.0,16.0,77,57.99999999999999,28.000000000000004,4,86,77.0,14.000000000000002,14.000000000000002,72.0,19.0,45.0,17.0,27.0,4.0,22.0,6.0,13.0,32.0,8.0,33.0,30,32.0,27.0,41.0,17,37.0,8.0,35,34.0
2020,South Asia,Female,90,3.0,7.000000000000001,5.7,33.0,67.0,6017,10.0,63.0,37.0,5.85,24.0,65.0,35.0,32.0,14.000000000000002,54.0,6.04,6,12.0,10.0,7.000000000000001,12.0,1,1.0,12.0,9.0,2.0,4.0,24.0,22.0,78.0,10.0,11.0,32.0,68.0,25.0,11.0,11.0,39.0,22.0,25.0,50.0,50.0,33.0,9.69,57.99999999999999,27.0,5.0,10.0,12,61.0,56.99999999999999,5.0,28.000000000000004,8.0,2,36.0,13.0,9.0,91,25.0,5.64,57.99999999999999,28.000000000000004,6.0,63.0,17.0,20.0,7.38,53.0,3.0,30,31.0,13.0,17,74,30.0,22.0,14.000000000000002,64.0,20.0,15.0,19.0,14.000000000000002,7.000000000000001,23.0,10.0,13.0,32.0,30.0,20.0,36,31.0,30.0,23.0,16,28.000000000000004,4.0,37,42.0
2020,South Asia,Male,87,4.0,9.0,6.19,53.0,47.0,8141,27.0,44.0,56.00000000000001,7.38,55.00000000000001,36.0,64.0,53.0,10.0,37.0,6.61,6,11.0,19.0,8.0,11.0,1,4.0,14.000000000000002,8.0,2.0,6.0,21.0,31.0,69.0,23.0,28.000000000000004,46.0,54.0,27.0,12.0,12.0,39.0,21.0,25.0,45.0,55.00000000000001,35.0,6.65,53.0,25.0,10.0,15.0,19,28.999999999999996,23.0,18.0,38.0,9.0,4,42.0,21.0,9.0,91,30.0,4.13,52.0,28.999999999999996,9.0,73.0,10.0,17.0,7.06,52.0,5.0,30,34.0,25.0,13,74,43.0,28.999999999999996,13.0,56.99999999999999,18.0,16.0,30.0,13.0,8.0,21.0,11.0,13.0,23.0,28.000000000000004,15.0,35,28.000000000000004,21.0,17.0,24,28.999999999999996,4.0,30,45.0
2020,South Asia,Combined,89,3.0,8.0,5.94,43.0,56.99999999999999,14158,18.0,53.0,47.0,6.76,39.0,51.0,49.0,42.0,12.0,46.0,6.32,6,12.0,14.000000000000002,7.000000000000001,11.0,1,3.0,13.0,9.0,2.0,5.0,23.0,26.0,74.0,16.0,19.0,39.0,61.0,26.0,12.0,11.0,39.0,22.0,25.0,47.0,53.0,34.0,8.16,55.00000000000001,26.0,8.0,13.0,16,45.0,40.0,12.0,33.0,8.0,3,39.0,17.0,9.0,91,27.0,4.95,55.00000000000001,28.000000000000004,8.0,68.0,13.0,19.0,7.22,52.0,4.0,30,33.0,19.0,15,74,36.0,26.0,13.0,61.0,19.0,15.0,25.0,13.0,8.0,22.0,11.0,13.0,28.000000000000004,28.999999999999996,18.0,35,28.999999999999996,26.0,20.0,20,28.000000000000004,4.0,33,44.0
2020,Sub-Saharan Africa,Female,87,4.0,10.0,6.1,48.0,52.0,20981,14.000000000000002,55.00000000000001,45.0,6.8,34.0,53.0,47.0,34.0,10.0,56.00000000000001,6.02,10,9.0,14.000000000000002,11.0,12.0,2,7.000000000000001,6.0,11.0,3.0,11.0,25.0,23.0,77.0,26.0,22.0,72.0,28.000000000000004,8.0,7.000000000000001,5.0,38.0,24.0,36.0,40.0,60.0,20.0,8.4,51.0,24.0,18.0,8.0,12,66.0,55.00000000000001,8.0,19.0,5.0,1,31.0,17.0,14.000000000000002,86,12.0,4.62,50.0,30.0,5.0,67.0,11.0,22.0,7.1,50.0,3.0,16,16.0,10.0,23,66,7.000000000000001,49.0,11.0,40.0,17.0,16.0,23.0,11.0,7.000000000000001,16.0,5.0,8.0,46.0,21.0,14.000000000000002,32,37.0,21.0,19.0,16,33.0,2.0,38,27.0
2020,Sub-Saharan Africa,Male,77,6.0,17.0,5.35,65.0,35.0,33939,36.0,53.0,47.0,7.77,51.0,35.0,65.0,52.0,9.0,39.0,5.96,10,10.0,22.0,6.0,15.0,4,8.0,6.0,7.000000000000001,3.0,14.000000000000002,19.0,28.000000000000004,72.0,36.0,37.0,69.0,31.0,16.0,14.000000000000002,11.0,33.0,21.0,36.0,34.0,66.0,21.0,6.88,46.0,21.0,27.0,15.0,20,35.0,24.0,21.0,28.000000000000004,8.0,3,32.0,19.0,17.0,83,23.0,4.32,46.0,27.0,6.0,66.0,11.0,23.0,6.49,53.0,8.0,23,21.0,20.0,16,63,13.0,51.0,12.0,38.0,18.0,19.0,28.000000000000004,13.0,12.0,16.0,6.0,8.0,39.0,25.0,12.0,33,32.0,20.0,22.0,17,33.0,2.0,34,30.0
2020,Sub-Saharan Africa,Combined,80,5.0,15.0,6.619999999999999,59.0,41.0,54920,28.999999999999996,54.0,46.0,7.46,45.0,41.0,59.0,45.0,9.0,45.0,5.98,10,10.0,19.0,8.0,14.000000000000002,3,8.0,6.0,9.0,3.0,13.0,21.0,26.0,74.0,32.0,32.0,70.0,30.0,13.0,11.0,9.0,35.0,22.0,36.0,36.0,64.0,21.0,7.38,48.0,22.0,24.0,12.0,17,46.0,35.0,16.0,25.0,7.000000000000001,3,32.0,18.0,16.0,84,19.0,4.43,47.0,28.000000000000004,6.0,66.0,11.0,23.0,6.7,51.0,6.0,21,19.0,17.0,19,64,11.0,50.0,12.0,38.0,17.0,18.0,26.0,12.0,10.0,16.0,6.0,8.0,42.0,23.0,13.0,33,34.0,20.0,21.0,17,33.0,2.0,36,28.999999999999996
